咪咕央卫,#genre#
CPB中国棒球城市联赛 福州海侠1-7上海虎鲸 2026赛季CPB中国棒球城市联赛上海赛区全场回放：福州海侠1-7上海虎鲸（官方解说） 16:30,http://45.192.97.170:8880/play/132.m3u8
CPB中国棒球城市联赛 北京正大龙3-8深圳蓝袜 2026赛季CPB中国棒球城市联赛深圳赛区全场回放：北京正大龙3-8深圳蓝袜（官方解说） 16:30,http://45.192.97.170:8880/play/133.m3u8
徽青赛 六安VS安庆 全场回放 16:30,http://45.192.97.170:8880/play/134.m3u8
中超 青岛海牛VS武汉三镇 全场回放（石庆圣、李彦、姚安妮） 16:55,http://45.192.97.170:8880/play/135.m3u8
中超 青岛海牛VS武汉三镇 全场回放（AI智慧观赛） 16:55,http://45.192.97.170:8880/play/136.m3u8
中超 青岛海牛VS武汉三镇 全场回放（AI智能解说） 16:55,http://45.192.97.170:8880/play/137.m3u8
美国网球公开赛 精彩回顾：黄泽林 vs 拉约维奇 精彩回顾：2026美国网球公开赛资格赛回放：黄泽林vs拉约维奇 17:00,http://45.192.97.170:8880/play/138.m3u8
NBA经典赛事 NBA精彩重播：骑士vs掘金 全场回放（连睿、王润陶） 18:00,http://45.192.97.170:8880/play/139.m3u8
徽青赛 蚌埠VS淮北 全场回放 18:00,http://45.192.97.170:8880/play/140.m3u8
海河超儿 静海0-2南开 天津市海河足球超级联赛第4轮全场回放：静海0:2南开（赛场原声） 18:00,http://45.192.97.170:8880/play/141.m3u8
斯诺克 赵心童VS常冰玉 【回放】赵心童7-10常冰玉（秦正、庞卫国）（50帧原画） 19:30,http://45.192.97.170:8880/play/142.m3u8
斯诺克 赵心童VS常冰玉 【回放】赵心童7-10常冰玉（赛场原声） 19:30,http://45.192.97.170:8880/play/143.m3u8
中超 天津津门虎VS青岛西海岸 全场回放（袁甲、冯潇霆） 18:45,http://45.192.97.170:8880/play/144.m3u8
中超 浙江俱乐部绿城VS云南玉昆 全场回放（张昊泽、张辛昕） 18:55,http://45.192.97.170:8880/play/145.m3u8
中超 浙江俱乐部绿城VS云南玉昆 全场回放（AI智慧观赛） 18:55,http://45.192.97.170:8880/play/146.m3u8
中超 浙江俱乐部绿城VS云南玉昆 全场回放（AI智能解说） 18:55,http://45.192.97.170:8880/play/147.m3u8
中甲 陕西联合VS延边龙鼎 全场回放（官方解说） 18:50,http://45.192.97.170:8880/play/148.m3u8
楚超 仙桃黄鳝队VS随州炎炎队 全场回放 19:00,http://45.192.97.170:8880/play/149.m3u8
徽BA 淮北VS六安 全场回放 19:00,http://45.192.97.170:8880/play/150.m3u8
徽BA 宿州VS宣城 全场回放 19:00,http://45.192.97.170:8880/play/151.m3u8
徽BA 池州VS亳州 全场回放 19:00,http://45.192.97.170:8880/play/152.m3u8
徽BA 淮南VS阜阳 全场回放 19:00,http://45.192.97.170:8880/play/153.m3u8
超三联赛 超三联赛 仁怀大区赛 A档12进8及B档决赛 【回放】成都和众18:20江苏香江猛虎 18:55,http://45.192.97.170:8880/play/154.m3u8
美国网球公开赛 精彩回顾：布云朝克特 vs 奇纳 精彩回顾：2026美国网球公开赛资格赛回放：布云朝克特vs奇纳 19:00,http://45.192.97.170:8880/play/155.m3u8
晋超联赛 朔州市87-72大同市 2026赛季山西省男子篮球超级联赛第4轮全场回放: 朔州市VS大同市（50帧原画） 19:20,http://45.192.97.170:8880/play/156.m3u8
楚超 孝感孝傲江湖队VS恩施小土豆队 全场回放 19:25,http://45.192.97.170:8880/play/157.m3u8
楚超 武汉华工科技队VS荆州恒隆队 全场回放 19:25,http://45.192.97.170:8880/play/158.m3u8
中甲 石家庄功夫VS无锡吴钩 全场回放（官方解说） 19:20,http://45.192.97.170:8880/play/159.m3u8
中甲 南京城市VS广西恒宸 全场回放（官方解说） 19:20,http://45.192.97.170:8880/play/160.m3u8
中甲 佛山南狮VS深圳青年人 全场回放（官方解说） 19:20,http://45.192.97.170:8880/play/161.m3u8
英超 利物浦VS诺丁汉森林 全场回放（詹俊、张路、程思钦） 19:15,http://45.192.97.170:8880/play/162.m3u8
英超 利物浦VS诺丁汉森林 全场回放（陈曦、何辉） 19:15,http://45.192.97.170:8880/play/163.m3u8
齐鲁超赛 淄博齐稷锐思达VS济南队 全场回放 19:30,http://45.192.97.170:8880/play/164.m3u8
齐鲁超赛 威海文旅集团队VS济宁港航 全场回放 19:30,http://45.192.97.170:8880/play/165.m3u8
齐鲁超赛 聊城传奇农商行VS潍坊队 全场回放 19:30,http://45.192.97.170:8880/play/166.m3u8
蒙超联赛 鄂尔多斯队VS赤峰队 全场回放 19:30,http://45.192.97.170:8880/play/167.m3u8
粤超 清远VS茂名 全场回放（普通话） 19:30,http://45.192.97.170:8880/play/168.m3u8
粤超 清远VS茂名 全场回放（粤语） 19:30,http://45.192.97.170:8880/play/169.m3u8
