分类: 📺央视频道, 名称: 中央新影-老故事, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: 中央新影-发现之旅, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: 中央新影-中学生, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 779 ms, 最高速率: 0.01 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: 书画频道, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: 中国天气, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: 汽摩频道, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 409 ms, 最高速率: 0.33 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: 文物宝库, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 395 ms, 最高速率: 0.51 MiB/s, 平均速率: 0.51 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: 武术世界, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: 353 ms, 最高速率: 0.49 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: 游戏风云, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 393 ms, 最高速率: 0.52 MiB/s, 平均速率: 0.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CHC家庭影院, 有效: 7, IPv4: 29, IPv6: 0, 最小延迟: 51 ms, 最高速率: 16.27 MiB/s, 平均速率: 7.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CHC影迷电影, 有效: 1, IPv4: 26, IPv6: 0, 最小延迟: 159 ms, 最高速率: 0.51 MiB/s, 平均速率: 0.51 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CHC动作电影, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 51 ms, 最高速率: 16.76 MiB/s, 平均速率: 9.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: 纯享4K, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 74, IPv6: 0, 最小延迟: 20 ms, 最高速率: 5.48 MiB/s, 平均速率: 3.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 6, IPv4: 59, IPv6: 0, 最小延迟: 51 ms, 最高速率: 22.00 MiB/s, 平均速率: 7.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 65, IPv6: 0, 最小延迟: 80 ms, 最高速率: 4.95 MiB/s, 平均速率: 4.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.63, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 41, IPv6: 0, 最小延迟: 61 ms, 最高速率: 55.18 MiB/s, 平均速率: 26.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.77, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 56 ms, 最高速率: 52.85 MiB/s, 平均速率: 23.13 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 45, IPv6: 0, 最小延迟: 52 ms, 最高速率: 18.41 MiB/s, 平均速率: 9.28 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 3, IPv4: 64, IPv6: 0, 最小延迟: 77 ms, 最高速率: 5.51 MiB/s, 平均速率: 3.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 76 ms, 最高速率: 8.97 MiB/s, 平均速率: 3.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 4, IPv4: 65, IPv6: 0, 最小延迟: 76 ms, 最高速率: 6.03 MiB/s, 平均速率: 3.87 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.39, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 4, IPv4: 78, IPv6: 0, 最小延迟: 76 ms, 最高速率: 5.99 MiB/s, 平均速率: 3.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.85, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 51 ms, 最高速率: 8.32 MiB/s, 平均速率: 2.17 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 76 ms, 最高速率: 6.10 MiB/s, 平均速率: 1.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 福建东南卫视, 有效: 4, IPv4: 62, IPv6: 0, 最小延迟: 52 ms, 最高速率: 12.97 MiB/s, 平均速率: 5.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.41, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 75 ms, 最高速率: 6.12 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 4, IPv4: 77, IPv6: 0, 最小延迟: 55 ms, 最高速率: 41.69 MiB/s, 平均速率: 13.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 64, IPv6: 0, 最小延迟: 52 ms, 最高速率: 10.82 MiB/s, 平均速率: 4.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 52 ms, 最高速率: 7.94 MiB/s, 平均速率: 2.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 54, IPv6: 0, 最小延迟: 76 ms, 最高速率: 6.09 MiB/s, 平均速率: 3.79 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 7, IPv4: 10, IPv6: 0, 最小延迟: 24 ms, 最高速率: 5.43 MiB/s, 平均速率: 2.51 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 66 ms, 最高速率: 12.35 MiB/s, 平均速率: 5.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 53, IPv6: 0, 最小延迟: 18 ms, 最高速率: 5.99 MiB/s, 平均速率: 2.87 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 0, IPv4: 32, IPv6: 0, 最小延迟: 51 ms, 最高速率: 16.06 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 3, IPv4: 56, IPv6: 0, 最小延迟: 76 ms, 最高速率: 6.80 MiB/s, 平均速率: 4.22 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 56, IPv6: 0, 最小延迟: 65 ms, 最高速率: 0.55 MiB/s, 平均速率: 0.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 57, IPv6: 0, 最小延迟: 52 ms, 最高速率: 21.45 MiB/s, 平均速率: 6.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 20, IPv6: 0, 最小延迟: 60 ms, 最高速率: 53.51 MiB/s, 平均速率: 22.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 66 ms, 最高速率: 49.05 MiB/s, 平均速率: 14.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 6, IPv4: 47, IPv6: 0, 最小延迟: 51 ms, 最高速率: 23.40 MiB/s, 平均速率: 6.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 67 ms, 最高速率: 49.19 MiB/s, 平均速率: 13.01 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.73, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 51 ms, 最高速率: 54.26 MiB/s, 平均速率: 15.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 3, IPv4: 51, IPv6: 0, 最小延迟: 76 ms, 最高速率: 5.75 MiB/s, 平均速率: 2.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 50, IPv6: 0, 最小延迟: 76 ms, 最高速率: 6.07 MiB/s, 平均速率: 6.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 45 ms, 最高速率: 67.72 MiB/s, 平均速率: 35.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 41, IPv6: 0, 最小延迟: 56 ms, 最高速率: 54.71 MiB/s, 平均速率: 17.13 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
